mode,acc,game_size,max_len,vocab_size,agent,embedding_size,heads,hidden_size,highest_acc
train,0.7832500338554382,10,4,100,dual,10,4,20,0.7832500338554382
test,0.7680000066757202,10,4,100,dual,10,4,20,0.7832500338554382
train,0.777999997138977,4,4,100,dual,10,4,20,0.8859999775886536
test,0.7770000696182251,4,4,100,dual,10,4,20,0.8859999775886536
train,0.6647499799728394,22,4,100,dual,10,4,20,0.7157499194145203
test,0.6159999966621399,22,4,100,dual,10,4,20,0.7157499194145203
