mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
test,34,0.44999998807907104,0.8819235563278198,5.0,4,100,40,100,40,4,gru
train,35,0.699999988079071,0.061003319919109344,5.0,4,100,40,100,40,4,gru
test,35,0.44999998807907104,0.9278680086135864,5.0,4,100,40,100,40,4,gru
train,36,0.699999988079071,0.05773291736841202,5.0,4,100,40,100,40,4,gru
test,36,0.44999998807907104,0.8616899251937866,5.0,4,100,40,100,40,4,gru
train,37,0.699999988079071,0.06036804988980293,5.0,4,100,40,100,40,4,gru
test,37,0.5,0.9221733212471008,5.0,4,100,40,100,40,4,gru
train,38,0.6875,0.05844712257385254,5.0,4,100,40,100,40,4,gru
test,38,0.5,0.8594829440116882,5.0,4,100,40,100,40,4,gru
train,39,0.6625000238418579,0.06189405918121338,5.0,4,100,40,100,40,4,gru
test,39,0.5,0.9287034273147583,5.0,4,100,40,100,40,4,gru
train,40,0.625,0.06187620013952255,5.0,4,100,40,100,40,4,gru
test,40,0.44999998807907104,0.9265879392623901,5.0,4,100,40,100,40,4,gru
train,41,0.612500011920929,0.06107563525438309,5.0,4,100,40,100,40,4,gru
test,41,0.3499999940395355,0.9295080304145813,5.0,4,100,40,100,40,4,gru
train,42,0.574999988079071,0.06495542824268341,5.0,4,100,40,100,40,4,gru
test,42,0.44999998807907104,0.8261207342147827,5.0,4,100,40,100,40,4,gru
train,43,0.6499999761581421,0.06856165826320648,5.0,4,100,40,100,40,4,gru
test,43,0.4000000059604645,1.0081989765167236,5.0,4,100,40,100,40,4,gru
train,44,0.612500011920929,0.06248878687620163,5.0,4,100,40,100,40,4,gru
test,44,0.44999998807907104,0.853500485420227,5.0,4,100,40,100,40,4,gru
train,45,0.612500011920929,0.0650431364774704,5.0,4,100,40,100,40,4,gru
test,45,0.44999998807907104,0.863886833190918,5.0,4,100,40,100,40,4,gru
train,46,0.6875,0.06277965754270554,5.0,4,100,40,100,40,4,gru
