mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,60,100,40,4,gru
test,0,0.25,,,4,100,60,100,40,4,gru
train,1,0.17500244081020355,0.7231187224388123,4.999990940093994,4,100,60,100,40,4,gru
test,1,0.44999998807907104,0.7895597815513611,5.0,4,100,60,100,40,4,gru
train,2,0.4124999940395355,0.1994037926197052,5.0,4,100,60,100,40,4,gru
test,2,0.4000000059604645,2.342376232147217,5.0,4,100,60,100,40,4,gru
train,3,0.4625000059604645,0.10077963024377823,5.0,4,100,60,100,40,4,gru
test,3,0.550000011920929,0.6765953302383423,5.0,4,100,60,100,40,4,gru
train,4,0.5,0.07269103825092316,5.0,4,100,60,100,40,4,gru
test,4,0.44999998807907104,0.7155891060829163,5.0,4,100,60,100,40,4,gru
train,5,0.512499988079071,0.0687989741563797,5.0,4,100,60,100,40,4,gru
test,5,0.44999998807907104,0.7642825841903687,5.0,4,100,60,100,40,4,gru
train,6,0.5,0.06914754956960678,5.0,4,100,60,100,40,4,gru
test,6,0.5,0.7180498838424683,5.0,4,100,60,100,40,4,gru
train,7,0.512499988079071,0.07342477887868881,5.0,4,100,60,100,40,4,gru
test,7,0.550000011920929,0.7328304052352905,5.0,4,100,60,100,40,4,gru
train,8,0.550000011920929,0.07009813189506531,5.0,4,100,60,100,40,4,gru
test,8,0.550000011920929,0.7344644665718079,5.0,4,100,60,100,40,4,gru
train,9,0.5249999761581421,0.06852059811353683,5.0,4,100,60,100,40,4,gru
test,9,0.4000000059604645,0.7727457880973816,5.0,4,100,60,100,40,4,gru
train,10,0.5,0.0697546899318695,5.0,4,100,60,100,40,4,gru
test,10,0.550000011920929,0.7291742563247681,5.0,4,100,60,100,40,4,gru
train,11,0.5375000238418579,0.0673980712890625,5.0,4,100,60,100,40,4,gru
test,11,0.6000000238418579,0.7135916948318481,5.0,4,100,60,100,40,4,gru
train,12,0.625,0.06540602445602417,5.0,4,100,60,100,40,4,gru
test,12,0.550000011920929,0.7100908756256104,5.0,4,100,60,100,40,4,gru
train,13,0.612500011920929,0.06433317810297012,5.0,4,100,60,100,40,4,gru
test,13,0.5,0.7035107016563416,5.0,4,100,60,100,40,4,gru
train,14,0.6000000238418579,0.06441942602396011,5.0,4,100,60,100,40,4,gru
test,14,0.550000011920929,0.6909154653549194,5.0,4,100,60,100,40,4,gru
train,15,0.675000011920929,0.06418360024690628,5.0,4,100,60,100,40,4,gru
test,15,0.550000011920929,0.7150512933731079,5.0,4,100,60,100,40,4,gru
train,16,0.6000000238418579,0.06563058495521545,5.0,4,100,60,100,40,4,gru
test,16,0.550000011920929,0.7109978199005127,5.0,4,100,60,100,40,4,gru
train,17,0.637499988079071,0.06375141441822052,5.0,4,100,60,100,40,4,gru
test,17,0.6000000238418579,0.6851345300674438,5.0,4,100,60,100,40,4,gru
train,18,0.5625,0.06484134495258331,5.0,4,100,60,100,40,4,gru
test,18,0.44999998807907104,0.7645101547241211,5.0,4,100,60,100,40,4,gru
train,19,0.612500011920929,0.06642039120197296,5.0,4,100,60,100,40,4,gru
test,19,0.44999998807907104,0.6904472708702087,5.0,4,100,60,100,40,4,gru
train,20,0.625,0.06723601371049881,5.0,4,100,60,100,40,4,gru
test,20,0.4000000059604645,0.7177164554595947,5.0,4,100,60,100,40,4,gru
train,21,0.675000011920929,0.06596232950687408,5.0,4,100,60,100,40,4,gru
test,21,0.4000000059604645,0.7000089883804321,5.0,4,100,60,100,40,4,gru
train,22,0.637499988079071,0.06562700122594833,5.0,4,100,60,100,40,4,gru
test,22,0.4000000059604645,0.7682100534439087,5.0,4,100,60,100,40,4,gru
train,23,0.625,0.0651462972164154,5.0,4,100,60,100,40,4,gru
test,23,0.550000011920929,0.6924575567245483,5.0,4,100,60,100,40,4,gru
train,24,0.6499999761581421,0.068621426820755,5.0,4,100,60,100,40,4,gru
test,24,0.44999998807907104,0.7239991426467896,5.0,4,100,60,100,40,4,gru
train,25,0.6875,0.06344981491565704,5.0,4,100,60,100,40,4,gru
test,25,0.5,0.6908740997314453,5.0,4,100,60,100,40,4,gru
train,26,0.6875,0.06273304671049118,5.0,4,100,60,100,40,4,gru
test,26,0.5,0.7462126612663269,5.0,4,100,60,100,40,4,gru
train,27,0.5874999761581421,0.0641048401594162,5.0,4,100,60,100,40,4,gru
test,27,0.4000000059604645,0.7500406503677368,5.0,4,100,60,100,40,4,gru
train,28,0.6499999761581421,0.0636671707034111,5.0,4,100,60,100,40,4,gru
test,28,0.5,0.7482246160507202,5.0,4,100,60,100,40,4,gru
train,29,0.637499988079071,0.06485367566347122,5.0,4,100,60,100,40,4,gru
test,29,0.5,0.7023322582244873,5.0,4,100,60,100,40,4,gru
train,30,0.5874999761581421,0.06863199174404144,5.0,4,100,60,100,40,4,gru
test,30,0.44999998807907104,0.7262261509895325,5.0,4,100,60,100,40,4,gru
train,31,0.6499999761581421,0.06612326949834824,5.0,4,100,60,100,40,4,gru
test,31,0.3499999940395355,0.7437462210655212,5.0,4,100,60,100,40,4,gru
train,32,0.625,0.06401030719280243,5.0,4,100,60,100,40,4,gru
test,32,0.44999998807907104,0.7499753832817078,5.0,4,100,60,100,40,4,gru
train,33,0.6625000238418579,0.06193389743566513,5.0,4,100,60,100,40,4,gru
test,33,0.44999998807907104,0.8092254400253296,5.0,4,100,60,100,40,4,gru
train,34,0.6625000238418579,0.061817534267902374,5.0,4,100,60,100,40,4,gru
test,34,0.44999998807907104,0.7262825965881348,5.0,4,100,60,100,40,4,gru
train,35,0.6499999761581421,0.0637943223118782,5.0,4,100,60,100,40,4,gru
test,35,0.44999998807907104,0.7438215613365173,5.0,4,100,60,100,40,4,gru
train,36,0.7250000238418579,0.06071872264146805,5.0,4,100,60,100,40,4,gru
test,36,0.44999998807907104,0.7277101278305054,5.0,4,100,60,100,40,4,gru
train,37,0.699999988079071,0.06139159947633743,5.0,4,100,60,100,40,4,gru
test,37,0.5,0.7521722316741943,5.0,4,100,60,100,40,4,gru
train,38,0.7250000238418579,0.060601405799388885,5.0,4,100,60,100,40,4,gru
test,38,0.44999998807907104,0.7736049890518188,5.0,4,100,60,100,40,4,gru
train,39,0.625,0.06921856105327606,5.0,4,100,60,100,40,4,gru
test,39,0.550000011920929,0.7900968790054321,5.0,4,100,60,100,40,4,gru
train,40,0.637499988079071,0.07541687041521072,5.0,4,100,60,100,40,4,gru
test,40,0.44999998807907104,0.7426168322563171,5.0,4,100,60,100,40,4,gru
train,41,0.637499988079071,0.06423626840114594,5.0,4,100,60,100,40,4,gru
test,41,0.4000000059604645,0.8196004033088684,5.0,4,100,60,100,40,4,gru
train,42,0.5625,0.06892375648021698,5.0,4,100,60,100,40,4,gru
test,42,0.550000011920929,0.7365105748176575,5.0,4,100,60,100,40,4,gru
train,43,0.625,0.06995787471532822,5.0,4,100,60,100,40,4,gru
test,43,0.4000000059604645,0.8485507965087891,5.0,4,100,60,100,40,4,gru
train,44,0.637499988079071,0.06472104787826538,5.0,4,100,60,100,40,4,gru
test,44,0.5,0.7384504675865173,5.0,4,100,60,100,40,4,gru
train,45,0.637499988079071,0.06674940884113312,5.0,4,100,60,100,40,4,gru
test,45,0.4000000059604645,0.7653698325157166,5.0,4,100,60,100,40,4,gru
train,46,0.637499988079071,0.06812751293182373,5.0,4,100,60,100,40,4,gru
test,46,0.550000011920929,0.8400867581367493,5.0,4,100,60,100,40,4,gru
train,47,0.6499999761581421,0.06693922728300095,5.0,4,100,60,100,40,4,gru
test,47,0.6000000238418579,0.7424647212028503,5.0,4,100,60,100,40,4,gru
train,48,0.675000011920929,0.06354622542858124,5.0,4,100,60,100,40,4,gru
test,48,0.5,0.776697039604187,5.0,4,100,60,100,40,4,gru
train,49,0.6625000238418579,0.06472178548574448,5.0,4,100,60,100,40,4,gru
test,49,0.5,0.7720016241073608,5.0,4,100,60,100,40,4,gru
train,50,0.7250000238418579,0.06156075745820999,5.0,4,100,60,100,40,4,gru
test,50,0.3499999940395355,0.7592516541481018,5.0,4,100,60,100,40,4,gru
train,51,0.6625000238418579,0.06311018764972687,5.0,4,100,60,100,40,4,gru
test,51,0.4000000059604645,0.7711220383644104,5.0,4,100,60,100,40,4,gru
train,52,0.7124999761581421,0.06080130487680435,5.0,4,100,60,100,40,4,gru
test,52,0.44999998807907104,0.8122727274894714,5.0,4,100,60,100,40,4,gru
train,53,0.699999988079071,0.06193193793296814,5.0,4,100,60,100,40,4,gru
test,53,0.44999998807907104,0.7571855783462524,5.0,4,100,60,100,40,4,gru
train,54,0.699999988079071,0.059538982808589935,5.0,4,100,60,100,40,4,gru
test,54,0.4000000059604645,0.8048814535140991,5.0,4,100,60,100,40,4,gru
train,55,0.6875,0.06082596257328987,5.0,4,100,60,100,40,4,gru
test,55,0.5,0.7679992318153381,5.0,4,100,60,100,40,4,gru
train,56,0.762499988079071,0.059956759214401245,5.0,4,100,60,100,40,4,gru
test,56,0.5,0.7581288814544678,5.0,4,100,60,100,40,4,gru
train,57,0.6625000238418579,0.06329987943172455,5.0,4,100,60,100,40,4,gru
test,57,0.3499999940395355,0.8284466862678528,5.0,4,100,60,100,40,4,gru
train,58,0.6499999761581421,0.06503329426050186,5.0,4,100,60,100,40,4,gru
test,58,0.44999998807907104,0.8381451368331909,5.0,4,100,60,100,40,4,gru
train,59,0.6875,0.06263063848018646,5.0,4,100,60,100,40,4,gru
test,59,0.30000001192092896,0.8251282572746277,5.0,4,100,60,100,40,4,gru
train,60,0.699999988079071,0.059595685452222824,5.0,4,100,60,100,40,4,gru
test,60,0.4000000059604645,0.7985126376152039,5.0,4,100,60,100,40,4,gru
train,61,0.75,0.05976138636469841,5.0,4,100,60,100,40,4,gru
test,61,0.5,0.8113886713981628,5.0,4,100,60,100,40,4,gru
train,62,0.699999988079071,0.059362221509218216,5.0,4,100,60,100,40,4,gru
test,62,0.44999998807907104,0.81438148021698,5.0,4,100,60,100,40,4,gru
train,63,0.625,0.060143303126096725,5.0,4,100,60,100,40,4,gru
test,63,0.44999998807907104,0.8156905174255371,5.0,4,100,60,100,40,4,gru
train,64,0.7250000238418579,0.05930402874946594,5.0,4,100,60,100,40,4,gru
test,64,0.5,0.8182377815246582,5.0,4,100,60,100,40,4,gru
train,65,0.762499988079071,0.05754498764872551,5.0,4,100,60,100,40,4,gru
test,65,0.4000000059604645,0.794630229473114,5.0,4,100,60,100,40,4,gru
train,66,0.737500011920929,0.06100320816040039,5.0,4,100,60,100,40,4,gru
test,66,0.44999998807907104,0.834054172039032,5.0,4,100,60,100,40,4,gru
train,67,0.75,0.05969562008976936,5.0,4,100,60,100,40,4,gru
test,67,0.3499999940395355,0.8418601751327515,5.0,4,100,60,100,40,4,gru
train,68,0.6875,0.05930398777127266,5.0,4,100,60,100,40,4,gru
test,68,0.44999998807907104,0.8391005396842957,5.0,4,100,60,100,40,4,gru
