mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,40,100,40,4,gru
test,0,0.25,,,4,100,40,100,40,4,gru
train,1,0.3120501637458801,0.5191619992256165,4.916204452514648,4,100,40,100,40,4,gru
test,1,0.25,3.5998120307922363,5.0,4,100,40,100,40,4,gru
train,2,0.31249961256980896,0.3277585506439209,4.993533134460449,4,100,40,100,40,4,gru
test,2,0.6000000238418579,0.7453153729438782,5.0,4,100,40,100,40,4,gru
train,3,0.5124991536140442,0.09929665923118591,4.999814033508301,4,100,40,100,40,4,gru
test,3,0.550000011920929,0.7268211841583252,5.0,4,100,40,100,40,4,gru
train,4,0.5625,0.07530567795038223,4.999999046325684,4,100,40,100,40,4,gru
test,4,0.550000011920929,0.7674533128738403,5.0,4,100,40,100,40,4,gru
train,5,0.600000262260437,0.07294826209545135,4.999997138977051,4,100,40,100,40,4,gru
test,5,0.5,0.7523361444473267,5.0,4,100,40,100,40,4,gru
train,6,0.5499983429908752,0.06974951177835464,4.9999847412109375,4,100,40,100,40,4,gru
test,6,0.550000011920929,0.6972049474716187,5.0,4,100,40,100,40,4,gru
train,7,0.5749837160110474,0.06913517415523529,4.99995231628418,4,100,40,100,40,4,gru
test,7,0.6499999761581421,0.6698755621910095,5.0,4,100,40,100,40,4,gru
train,8,0.624991774559021,0.06720259040594101,4.999972343444824,4,100,40,100,40,4,gru
test,8,0.6499999761581421,0.6983051300048828,5.0,4,100,40,100,40,4,gru
train,9,0.6249867677688599,0.06485481560230255,4.999808311462402,4,100,40,100,40,4,gru
test,9,0.5,0.7402380704879761,5.0,4,100,40,100,40,4,gru
train,10,0.637499988079071,0.06381475925445557,5.0,4,100,40,100,40,4,gru
test,10,0.5,0.7713955044746399,5.0,4,100,40,100,40,4,gru
train,11,0.637499988079071,0.06312785297632217,5.0,4,100,40,100,40,4,gru
test,11,0.5,0.7780469655990601,5.0,4,100,40,100,40,4,gru
train,12,0.6499999761581421,0.06273014843463898,5.0,4,100,40,100,40,4,gru
test,12,0.5,0.7957622408866882,5.0,4,100,40,100,40,4,gru
train,13,0.7124999761581421,0.062234800308942795,5.0,4,100,40,100,40,4,gru
test,13,0.550000011920929,0.7882207632064819,5.0,4,100,40,100,40,4,gru
train,14,0.6875,0.061514467000961304,5.0,4,100,40,100,40,4,gru
test,14,0.5,0.7619017958641052,5.0,4,100,40,100,40,4,gru
train,15,0.737500011920929,0.06113620474934578,5.0,4,100,40,100,40,4,gru
test,15,0.550000011920929,0.7454521656036377,5.0,4,100,40,100,40,4,gru
train,16,0.737500011920929,0.0605248287320137,5.0,4,100,40,100,40,4,gru
test,16,0.550000011920929,0.7513605952262878,5.0,4,100,40,100,40,4,gru
train,17,0.737500011920929,0.0603344552218914,5.0,4,100,40,100,40,4,gru
test,17,0.5,0.7451705932617188,5.0,4,100,40,100,40,4,gru
train,18,0.737500011920929,0.05978858470916748,5.0,4,100,40,100,40,4,gru
test,18,0.550000011920929,0.7731110453605652,5.0,4,100,40,100,40,4,gru
train,19,0.7124999761581421,0.059409983456134796,5.0,4,100,40,100,40,4,gru
test,19,0.5,0.7854849696159363,5.0,4,100,40,100,40,4,gru
train,20,0.6875,0.058964889496564865,5.0,4,100,40,100,40,4,gru
test,20,0.5,0.8065025210380554,5.0,4,100,40,100,40,4,gru
train,21,0.7000000476837158,0.058458782732486725,5.0,4,100,40,100,40,4,gru
test,21,0.6000000238418579,0.8354978561401367,5.0,4,100,40,100,40,4,gru
