mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,agent
test,14,0.5249999761581421,0.693945586681366,5.0,4,100,20,40,10,4,4,gru,dual
train,15,0.5192499756813049,0.6935936808586121,5.0,4,100,20,40,10,4,4,gru,dual
test,15,0.5249999165534973,0.6927506923675537,5.0,4,100,20,40,10,4,4,gru,dual
train,16,0.5170000195503235,0.6933303475379944,5.0,4,100,20,40,10,4,4,gru,dual
test,16,0.5210000276565552,0.6924235820770264,5.0,4,100,20,40,10,4,4,gru,dual
train,17,0.5200000405311584,0.693252682685852,5.0,4,100,20,40,10,4,4,gru,dual
test,17,0.5230000019073486,0.6920190453529358,5.0,4,100,20,40,10,4,4,gru,dual
train,18,0.5067500472068787,0.6933895945549011,5.0,4,100,20,40,10,4,4,gru,dual
test,18,0.5199999809265137,0.6921781301498413,5.0,4,100,20,40,10,4,4,gru,dual
train,19,0.515749990940094,0.6931573748588562,5.0,4,100,20,40,10,4,4,gru,dual
test,19,0.527999997138977,0.6912087202072144,5.0,4,100,20,40,10,4,4,gru,dual
train,20,0.515500009059906,0.6930729150772095,5.0,4,100,20,40,10,4,4,gru,dual
test,20,0.5170000195503235,0.6919863224029541,5.0,4,100,20,40,10,4,4,gru,dual
train,21,0.5149999856948853,0.6928278207778931,5.0,4,100,20,40,10,4,4,gru,dual
test,21,0.5239999890327454,0.6912599802017212,5.0,4,100,20,40,10,4,4,gru,dual
train,22,0.5554999709129333,0.6746560335159302,5.0,4,100,20,40,10,4,4,gru,dual
test,22,0.5799999833106995,0.6467357873916626,5.0,4,100,20,40,10,4,4,gru,dual
train,23,0.6212499737739563,0.6379445791244507,5.0,4,100,20,40,10,4,4,gru,dual
test,23,0.6639999151229858,0.645232617855072,5.0,4,100,20,40,10,4,4,gru,dual
train,24,0.6100000739097595,0.641386866569519,5.0,4,100,20,40,10,4,4,gru,dual
test,24,0.6459999680519104,0.6088747978210449,5.0,4,100,20,40,10,4,4,gru,dual
train,25,0.5385000109672546,0.6845097541809082,5.0,4,100,20,40,10,4,4,gru,dual
test,25,0.5509999990463257,0.6968258619308472,5.0,4,100,20,40,10,4,4,gru,dual
train,26,0.6080000400543213,0.607406735420227,5.0,4,100,20,40,10,4,4,gru,dual
test,26,0.6809999942779541,0.5070430040359497,5.0,4,100,20,40,10,4,4,gru,dual
train,27,0.6355000138282776,0.5855840444564819,5.0,4,100,20,40,10,4,4,gru,dual
test,27,0.6809999942779541,0.4716915488243103,5.0,4,100,20,40,10,4,4,gru,dual
train,28,0.6722499132156372,0.5008734464645386,5.0,4,100,20,40,10,4,4,gru,dual
test,28,0.7310000061988831,0.42894116044044495,5.0,4,100,20,40,10,4,4,gru,dual
train,29,0.6819999814033508,0.4699690341949463,5.0,4,100,20,40,10,4,4,gru,dual
test,29,0.7070000171661377,0.41063350439071655,5.0,4,100,20,40,10,4,4,gru,dual
train,30,0.7129999399185181,0.4136279225349426,5.0,4,100,20,40,10,4,4,gru,dual
test,30,0.5849999785423279,1.2171332836151123,5.0,4,100,20,40,10,4,4,gru,dual
train,31,0.6827499270439148,0.5443909764289856,5.0,4,100,20,40,10,4,4,gru,dual
test,31,0.7390000224113464,0.40656882524490356,5.0,4,100,20,40,10,4,4,gru,dual
train,32,0.815250039100647,0.349922239780426,5.0,4,100,20,40,10,4,4,gru,dual
test,32,0.8020000457763672,0.4058588445186615,5.0,4,100,20,40,10,4,4,gru,dual
train,33,0.8144999742507935,0.3461361527442932,5.0,4,100,20,40,10,4,4,gru,dual
test,33,0.8739999532699585,0.27335286140441895,5.0,4,100,20,40,10,4,4,gru,dual
train,34,0.8119999766349792,0.36874833703041077,5.0,4,100,20,40,10,4,4,gru,dual
test,34,0.8859999775886536,0.2546829283237457,5.0,4,100,20,40,10,4,4,gru,dual
train,35,0.778499960899353,0.5353639125823975,5.0,4,100,20,40,10,4,4,gru,dual
test,35,0.5730000138282776,0.6607476472854614,5.0,4,100,20,40,10,4,4,gru,dual
train,36,0.5625,0.6755908727645874,5.0,4,100,20,40,10,4,4,gru,dual
test,36,0.6830000281333923,0.6107901334762573,5.0,4,100,20,40,10,4,4,gru,dual
train,37,0.6804999709129333,0.5502796769142151,5.0,4,100,20,40,10,4,4,gru,dual
test,37,0.6860000491142273,0.48804306983947754,5.0,4,100,20,40,10,4,4,gru,dual
train,38,0.6912500262260437,0.47107601165771484,5.0,4,100,20,40,10,4,4,gru,dual
test,38,0.6529999375343323,0.5213621854782104,5.0,4,100,20,40,10,4,4,gru,dual
train,39,0.702750027179718,0.48523038625717163,5.0,4,100,20,40,10,4,4,gru,dual
test,39,0.7400000095367432,0.43641144037246704,5.0,4,100,20,40,10,4,4,gru,dual
train,40,0.777999997138977,0.4142795503139496,5.0,4,100,20,40,10,4,4,gru,dual
test,40,0.7770000696182251,0.4447898864746094,5.0,4,100,20,40,10,4,4,gru,dual
