mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,agent
train,0,0.25,,,4,100,20,40,10,4,4,gru,dual
test,0,0.25,,,4,100,20,40,10,4,4,gru,dual
train,1,0.2553776204586029,0.842518150806427,3.0745902061462402,4,100,20,40,10,4,4,gru,dual
test,1,0.267300009727478,0.6953683495521545,3.0,4,100,20,40,10,4,4,gru,dual
train,2,0.26093894243240356,0.6958724856376648,3.0034666061401367,4,100,20,40,10,4,4,gru,dual
test,2,0.25181999802589417,0.6975679993629456,3.0,4,100,20,40,10,4,4,gru,dual
train,3,0.2597372829914093,0.6951841711997986,3.0031216144561768,4,100,20,40,10,4,4,gru,dual
test,3,0.26423999667167664,0.6929775476455688,3.0,4,100,20,40,10,4,4,gru,dual
train,4,0.25659987330436707,0.6944578886032104,3.0030908584594727,4,100,20,40,10,4,4,gru,dual
test,4,0.25633999705314636,0.6931771636009216,3.0,4,100,20,40,10,4,4,gru,dual
train,5,0.26173245906829834,0.6942476034164429,3.0030829906463623,4,100,20,40,10,4,4,gru,dual
test,5,0.2489600032567978,0.6949025392532349,3.0,4,100,20,40,10,4,4,gru,dual
train,6,0.260041207075119,0.6954727172851562,3.003035545349121,4,100,20,40,10,4,4,gru,dual
test,6,0.245480015873909,0.6961619853973389,3.0,4,100,20,40,10,4,4,gru,dual
train,7,0.2594049572944641,0.696724534034729,3.0034186840057373,4,100,20,40,10,4,4,gru,dual
test,7,0.2633799910545349,0.6929097771644592,3.0,4,100,20,40,10,4,4,gru,dual
train,8,0.26000916957855225,0.695515513420105,3.003249406814575,4,100,20,40,10,4,4,gru,dual
test,8,0.2619999945163727,0.6930700540542603,3.0,4,100,20,40,10,4,4,gru,dual
train,9,0.26080912351608276,0.6949353814125061,3.003084182739258,4,100,20,40,10,4,4,gru,dual
test,9,0.26467999815940857,0.6925860643386841,3.0,4,100,20,40,10,4,4,gru,dual
train,10,0.2630763351917267,0.6941344738006592,3.003045082092285,4,100,20,40,10,4,4,gru,dual
test,10,0.25088000297546387,0.6944538354873657,3.0,4,100,20,40,10,4,4,gru,dual
train,11,0.25893089175224304,0.6932107210159302,3.002439260482788,4,100,20,40,10,4,4,gru,dual
test,11,0.26388001441955566,0.6950922012329102,3.0,4,100,20,40,10,4,4,gru,dual
train,12,0.38639315962791443,1.1023365259170532,4.454945087432861,4,100,20,40,10,4,4,gru,dual
test,12,0.49500006437301636,0.7939899563789368,5.0,4,100,20,40,10,4,4,gru,dual
train,13,0.5085000395774841,0.7106579542160034,5.0,4,100,20,40,10,4,4,gru,dual
test,13,0.5239999890327454,0.6934232711791992,5.0,4,100,20,40,10,4,4,gru,dual
train,14,0.5139999985694885,0.6946046352386475,5.0,4,100,20,40,10,4,4,gru,dual
