mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,agent
train,0,0.045454545454545456,,,22,100,20,40,10,4,4,gru,dual
test,0,0.045454545454545456,,,22,100,20,40,10,4,4,gru,dual
train,1,0.1164063960313797,2.7399842739105225,4.987578392028809,22,100,20,40,10,4,4,gru,dual
test,1,0.1770000159740448,2.034966468811035,5.0,22,100,20,40,10,4,4,gru,dual
train,2,0.2802220284938812,1.7133525609970093,4.998846530914307,22,100,20,40,10,4,4,gru,dual
test,2,0.27300000190734863,1.613682508468628,5.0,22,100,20,40,10,4,4,gru,dual
train,3,0.3219969868659973,1.5178865194320679,4.999699115753174,22,100,20,40,10,4,4,gru,dual
test,3,0.29499998688697815,1.5180741548538208,5.0,22,100,20,40,10,4,4,gru,dual
train,4,0.3422475755214691,1.4223077297210693,4.999866962432861,22,100,20,40,10,4,4,gru,dual
test,4,0.3320000469684601,1.4305747747421265,5.0,22,100,20,40,10,4,4,gru,dual
train,5,0.3629974126815796,1.3835793733596802,4.999905109405518,22,100,20,40,10,4,4,gru,dual
test,5,0.3799999952316284,1.371554970741272,5.0,22,100,20,40,10,4,4,gru,dual
train,6,0.3747484087944031,1.3407336473464966,4.99992561340332,22,100,20,40,10,4,4,gru,dual
test,6,0.37800005078315735,1.3727844953536987,5.0,22,100,20,40,10,4,4,gru,dual
train,7,0.42874789237976074,1.2455456256866455,4.999929428100586,22,100,20,40,10,4,4,gru,dual
test,7,0.4570000171661377,1.2307524681091309,5.0,22,100,20,40,10,4,4,gru,dual
train,8,0.488249272108078,1.1602624654769897,4.999984264373779,22,100,20,40,10,4,4,gru,dual
test,8,0.49399998784065247,1.2026379108428955,5.0,22,100,20,40,10,4,4,gru,dual
train,9,0.4969996511936188,1.1159107685089111,4.999992847442627,22,100,20,40,10,4,4,gru,dual
test,9,0.4880000352859497,1.1970630884170532,5.0,22,100,20,40,10,4,4,gru,dual
train,10,0.5309996604919434,1.0333843231201172,4.999993801116943,22,100,20,40,10,4,4,gru,dual
test,10,0.5279999375343323,1.1244838237762451,5.0,22,100,20,40,10,4,4,gru,dual
train,11,0.5299997329711914,1.0176026821136475,4.999992370605469,22,100,20,40,10,4,4,gru,dual
test,11,0.5569999814033508,1.0253243446350098,5.0,22,100,20,40,10,4,4,gru,dual
train,12,0.5587498545646667,0.985296368598938,4.999999046325684,22,100,20,40,10,4,4,gru,dual
test,12,0.5009999871253967,1.166809320449829,5.0,22,100,20,40,10,4,4,gru,dual
train,13,0.557249903678894,0.9590321779251099,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,13,0.5439999103546143,1.0033057928085327,5.0,22,100,20,40,10,4,4,gru,dual
train,14,0.5854998230934143,0.9189804792404175,4.999997138977051,22,100,20,40,10,4,4,gru,dual
test,14,0.5449999570846558,1.0727975368499756,5.0,22,100,20,40,10,4,4,gru,dual
train,15,0.6047499179840088,0.8771902918815613,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,15,0.5479999780654907,1.0589964389801025,5.0,22,100,20,40,10,4,4,gru,dual
train,16,0.591499924659729,0.9108464121818542,4.999999046325684,22,100,20,40,10,4,4,gru,dual
test,16,0.5040000081062317,1.1711124181747437,5.0,22,100,20,40,10,4,4,gru,dual
train,17,0.58899986743927,0.9012484550476074,5.0,22,100,20,40,10,4,4,gru,dual
test,17,0.5239999890327454,1.1488122940063477,5.0,22,100,20,40,10,4,4,gru,dual
train,18,0.5870000123977661,0.9236201047897339,5.0,22,100,20,40,10,4,4,gru,dual
test,18,0.6029999852180481,0.8631380796432495,5.0,22,100,20,40,10,4,4,gru,dual
train,19,0.6277499198913574,0.8203738927841187,5.0,22,100,20,40,10,4,4,gru,dual
test,19,0.6039999127388,0.8565071821212769,5.0,22,100,20,40,10,4,4,gru,dual
train,20,0.6322499513626099,0.7896934151649475,5.0,22,100,20,40,10,4,4,gru,dual
test,20,0.5619999766349792,0.9324308633804321,5.0,22,100,20,40,10,4,4,gru,dual
train,21,0.6474999785423279,0.7823713421821594,5.0,22,100,20,40,10,4,4,gru,dual
test,21,0.6029999852180481,0.8927475810050964,5.0,22,100,20,40,10,4,4,gru,dual
train,22,0.6349999904632568,0.7917401194572449,5.0,22,100,20,40,10,4,4,gru,dual
test,22,0.6039999127388,0.8937980532646179,5.0,22,100,20,40,10,4,4,gru,dual
train,23,0.652999997138977,0.7608548402786255,5.0,22,100,20,40,10,4,4,gru,dual
test,23,0.6029999256134033,0.870944619178772,5.0,22,100,20,40,10,4,4,gru,dual
train,24,0.6622499227523804,0.7297942638397217,5.0,22,100,20,40,10,4,4,gru,dual
test,24,0.6309999823570251,0.8204242587089539,5.0,22,100,20,40,10,4,4,gru,dual
train,25,0.6692498326301575,0.7368689775466919,4.999999046325684,22,100,20,40,10,4,4,gru,dual
test,25,0.625999927520752,0.8231329917907715,5.0,22,100,20,40,10,4,4,gru,dual
train,26,0.6602500081062317,0.7522587180137634,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,26,0.6389999985694885,0.8028262853622437,5.0,22,100,20,40,10,4,4,gru,dual
train,27,0.6524999141693115,0.7784162163734436,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,27,0.6339999437332153,0.8264721632003784,5.0,22,100,20,40,10,4,4,gru,dual
