mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,agent
train,28,0.6577499508857727,0.763451337814331,5.0,22,100,20,40,10,4,4,gru,dual
test,28,0.574999988079071,1.0217101573944092,5.0,22,100,20,40,10,4,4,gru,dual
train,29,0.6559998989105225,0.7527866363525391,4.999999046325684,22,100,20,40,10,4,4,gru,dual
test,29,0.6119999289512634,0.8371379971504211,5.0,22,100,20,40,10,4,4,gru,dual
train,30,0.697999894618988,0.6709738969802856,5.0,22,100,20,40,10,4,4,gru,dual
test,30,0.6510000228881836,0.7568103671073914,5.0,22,100,20,40,10,4,4,gru,dual
train,31,0.7134999632835388,0.6636951565742493,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,31,0.6570000052452087,0.7498317956924438,5.0,22,100,20,40,10,4,4,gru,dual
train,32,0.6957498788833618,0.6663049459457397,4.999999046325684,22,100,20,40,10,4,4,gru,dual
test,32,0.6330000162124634,0.7852645516395569,5.0,22,100,20,40,10,4,4,gru,dual
train,33,0.7037498950958252,0.68382728099823,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,33,0.6470000743865967,0.7803088426589966,5.0,22,100,20,40,10,4,4,gru,dual
train,34,0.7147499918937683,0.6605829000473022,5.0,22,100,20,40,10,4,4,gru,dual
test,34,0.6850000619888306,0.7004724740982056,5.0,22,100,20,40,10,4,4,gru,dual
train,35,0.7105000615119934,0.6411121487617493,5.0,22,100,20,40,10,4,4,gru,dual
test,35,0.6669999957084656,0.781843364238739,5.0,22,100,20,40,10,4,4,gru,dual
train,36,0.7085000276565552,0.6401166915893555,5.0,22,100,20,40,10,4,4,gru,dual
test,36,0.6579999923706055,0.7854856252670288,5.0,22,100,20,40,10,4,4,gru,dual
train,37,0.7157499194145203,0.6331846714019775,5.0,22,100,20,40,10,4,4,gru,dual
test,37,0.6930000185966492,0.6925578117370605,5.0,22,100,20,40,10,4,4,gru,dual
train,38,0.7114999294281006,0.6373640894889832,4.999999523162842,22,100,20,40,10,4,4,gru,dual
test,38,0.6879999041557312,0.7047716379165649,5.0,22,100,20,40,10,4,4,gru,dual
train,39,0.7062498927116394,0.6396785378456116,4.999999046325684,22,100,20,40,10,4,4,gru,dual
test,39,0.6809999346733093,0.7622361183166504,5.0,22,100,20,40,10,4,4,gru,dual
train,40,0.6647499799728394,0.8181036710739136,5.0,22,100,20,40,10,4,4,gru,dual
test,40,0.6159999966621399,0.8858411908149719,5.0,22,100,20,40,10,4,4,gru,dual
