mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,60,100,40,4,gru
test,0,0.25,,,4,100,60,100,40,4,gru
train,1,0.24999944865703583,0.1708834320306778,4.9996232986450195,4,100,60,100,40,4,gru
test,1,0.25,1.3993980884552002,5.0,4,100,60,100,40,4,gru
train,2,0.2750000059604645,0.14024165272712708,4.999998092651367,4,100,60,100,40,4,gru
test,2,0.15000000596046448,1.4134843349456787,5.0,4,100,60,100,40,4,gru
train,3,0.30000001192092896,0.13995113968849182,5.0,4,100,60,100,40,4,gru
test,3,0.20000000298023224,1.5058664083480835,5.0,4,100,60,100,40,4,gru
train,4,0.3375000059604645,0.136847123503685,5.0,4,100,60,100,40,4,gru
test,4,0.30000001192092896,1.4416382312774658,5.0,4,100,60,100,40,4,gru
train,5,0.2874999940395355,0.13847899436950684,5.0,4,100,60,100,40,4,gru
test,5,0.30000001192092896,1.4418144226074219,5.0,4,100,60,100,40,4,gru
train,6,0.32499998807907104,0.13370493054389954,5.0,4,100,60,100,40,4,gru
test,6,0.3499999940395355,1.432232141494751,5.0,4,100,60,100,40,4,gru
train,7,0.3375000059604645,0.1322505623102188,5.0,4,100,60,100,40,4,gru
test,7,0.25,1.449507713317871,5.0,4,100,60,100,40,4,gru
train,8,0.36250001192092896,0.1301995813846588,5.0,4,100,60,100,40,4,gru
test,8,0.4000000059604645,1.4643646478652954,5.0,4,100,60,100,40,4,gru
train,9,0.32499998807907104,0.13223131000995636,5.0,4,100,60,100,40,4,gru
test,9,0.30000001192092896,1.4750676155090332,5.0,4,100,60,100,40,4,gru
train,10,0.3125,0.13316692411899567,5.0,4,100,60,100,40,4,gru
test,10,0.4000000059604645,1.4856420755386353,5.0,4,100,60,100,40,4,gru
train,11,0.3375000059604645,0.12957517802715302,5.0,4,100,60,100,40,4,gru
test,11,0.30000001192092896,1.4589523077011108,5.0,4,100,60,100,40,4,gru
train,12,0.3499999940395355,0.1282649040222168,5.0,4,100,60,100,40,4,gru
test,12,0.3499999940395355,1.468421459197998,5.0,4,100,60,100,40,4,gru
train,13,0.4000000059604645,0.12549445033073425,5.0,4,100,60,100,40,4,gru
test,13,0.4000000059604645,1.5343694686889648,5.0,4,100,60,100,40,4,gru
train,14,0.4124999940395355,0.12637698650360107,5.0,4,100,60,100,40,4,gru
test,14,0.4000000059604645,1.5347282886505127,5.0,4,100,60,100,40,4,gru
train,15,0.4124999940395355,0.125789076089859,5.0,4,100,60,100,40,4,gru
test,15,0.4000000059604645,1.555912733078003,5.0,4,100,60,100,40,4,gru
train,16,0.375,0.12721261382102966,5.0,4,100,60,100,40,4,gru
test,16,0.20000000298023224,1.5428000688552856,5.0,4,100,60,100,40,4,gru
train,17,0.42500001192092896,0.12454472482204437,5.0,4,100,60,100,40,4,gru
test,17,0.25,1.5894992351531982,5.0,4,100,60,100,40,4,gru
train,18,0.4124999940395355,0.12347300350666046,5.0,4,100,60,100,40,4,gru
test,18,0.20000000298023224,1.6309551000595093,5.0,4,100,60,100,40,4,gru
train,19,0.4375,0.12332489341497421,5.0,4,100,60,100,40,4,gru
test,19,0.20000000298023224,1.6347558498382568,5.0,4,100,60,100,40,4,gru
train,20,0.3499999940395355,0.12532712519168854,5.0,4,100,60,100,40,4,gru
test,20,0.15000000596046448,1.6341941356658936,5.0,4,100,60,100,40,4,gru
train,21,0.38749998807907104,0.12550471723079681,5.0,4,100,60,100,40,4,gru
test,21,0.3499999940395355,1.7273356914520264,5.0,4,100,60,100,40,4,gru
train,22,0.36250001192092896,0.13253697752952576,5.0,4,100,60,100,40,4,gru
test,22,0.15000000596046448,1.6432445049285889,5.0,4,100,60,100,40,4,gru
train,23,0.38749998807907104,0.1253456473350525,5.0,4,100,60,100,40,4,gru
test,23,0.15000000596046448,1.6296494007110596,5.0,4,100,60,100,40,4,gru
train,24,0.38749998807907104,0.12277523428201675,5.0,4,100,60,100,40,4,gru
test,24,0.20000000298023224,1.7084457874298096,5.0,4,100,60,100,40,4,gru
train,25,0.4000000059604645,0.1251659244298935,5.0,4,100,60,100,40,4,gru
test,25,0.05000000074505806,1.7094240188598633,5.0,4,100,60,100,40,4,gru
train,26,0.36250001192092896,0.12385646998882294,5.0,4,100,60,100,40,4,gru
test,26,0.15000000596046448,1.714643120765686,5.0,4,100,60,100,40,4,gru
train,27,0.4375,0.12182997167110443,5.0,4,100,60,100,40,4,gru
test,27,0.10000000149011612,1.7029365301132202,5.0,4,100,60,100,40,4,gru
train,28,0.375,0.12220213562250137,5.0,4,100,60,100,40,4,gru
test,28,0.3499999940395355,1.701500654220581,5.0,4,100,60,100,40,4,gru
train,29,0.4000000059604645,0.12308478355407715,5.0,4,100,60,100,40,4,gru
test,29,0.10000000149011612,1.7297989130020142,5.0,4,100,60,100,40,4,gru
train,30,0.4124999940395355,0.1208743304014206,5.0,4,100,60,100,40,4,gru
test,30,0.10000000149011612,1.752852201461792,5.0,4,100,60,100,40,4,gru
train,31,0.38749998807907104,0.12611791491508484,5.0,4,100,60,100,40,4,gru
test,31,0.10000000149011612,1.710415244102478,5.0,4,100,60,100,40,4,gru
train,32,0.3499999940395355,0.12697157263755798,5.0,4,100,60,100,40,4,gru
test,32,0.15000000596046448,1.7270009517669678,5.0,4,100,60,100,40,4,gru
train,33,0.375,0.12088912725448608,5.0,4,100,60,100,40,4,gru
test,33,0.15000000596046448,1.7647186517715454,5.0,4,100,60,100,40,4,gru
train,34,0.38749998807907104,0.1214146614074707,5.0,4,100,60,100,40,4,gru
test,34,0.15000000596046448,1.7415449619293213,5.0,4,100,60,100,40,4,gru
train,35,0.4000000059604645,0.12067129462957382,5.0,4,100,60,100,40,4,gru
test,35,0.15000000596046448,1.772409439086914,5.0,4,100,60,100,40,4,gru
train,36,0.42500001192092896,0.1210646852850914,5.0,4,100,60,100,40,4,gru
test,36,0.10000000149011612,1.8116976022720337,5.0,4,100,60,100,40,4,gru
train,37,0.4375,0.12080172449350357,5.0,4,100,60,100,40,4,gru
test,37,0.15000000596046448,1.7921539545059204,5.0,4,100,60,100,40,4,gru
train,38,0.36250001192092896,0.12445720285177231,5.0,4,100,60,100,40,4,gru
test,38,0.20000000298023224,1.7739622592926025,5.0,4,100,60,100,40,4,gru
train,39,0.4124999940395355,0.12453792244195938,5.0,4,100,60,100,40,4,gru
test,39,0.20000000298023224,1.7873815298080444,5.0,4,100,60,100,40,4,gru
train,40,0.42500001192092896,0.1212618350982666,5.0,4,100,60,100,40,4,gru
test,40,0.10000000149011612,1.7495782375335693,5.0,4,100,60,100,40,4,gru
train,41,0.36250001192092896,0.1204846128821373,5.0,4,100,60,100,40,4,gru
test,41,0.15000000596046448,1.7885539531707764,5.0,4,100,60,100,40,4,gru
train,42,0.4000000059604645,0.12149139493703842,5.0,4,100,60,100,40,4,gru
test,42,0.20000000298023224,1.8042669296264648,5.0,4,100,60,100,40,4,gru
train,43,0.375,0.11942015588283539,5.0,4,100,60,100,40,4,gru
test,43,0.15000000596046448,1.845595121383667,5.0,4,100,60,100,40,4,gru
train,44,0.38749998807907104,0.12198728322982788,5.0,4,100,60,100,40,4,gru
test,44,0.20000000298023224,1.8899810314178467,5.0,4,100,60,100,40,4,gru
train,45,0.4124999940395355,0.12080924212932587,5.0,4,100,60,100,40,4,gru
test,45,0.15000000596046448,1.7922632694244385,5.0,4,100,60,100,40,4,gru
train,46,0.38749998807907104,0.11983628571033478,5.0,4,100,60,100,40,4,gru
test,46,0.20000000298023224,1.7880948781967163,5.0,4,100,60,100,40,4,gru
train,47,0.38749998807907104,0.12023774534463882,5.0,4,100,60,100,40,4,gru
test,47,0.15000000596046448,1.8113476037979126,5.0,4,100,60,100,40,4,gru
train,48,0.36250001192092896,0.12301871925592422,5.0,4,100,60,100,40,4,gru
test,48,0.20000000298023224,1.8590139150619507,5.0,4,100,60,100,40,4,gru
train,49,0.36250001192092896,0.1202748641371727,5.0,4,100,60,100,40,4,gru
test,49,0.15000000596046448,1.8850971460342407,5.0,4,100,60,100,40,4,gru
train,50,0.42500001192092896,0.11803299188613892,5.0,4,100,60,100,40,4,gru
test,50,0.15000000596046448,1.855062484741211,5.0,4,100,60,100,40,4,gru
train,51,0.4124999940395355,0.11863823235034943,5.0,4,100,60,100,40,4,gru
test,51,0.15000000596046448,1.8878040313720703,5.0,4,100,60,100,40,4,gru
train,52,0.4000000059604645,0.11946126073598862,5.0,4,100,60,100,40,4,gru
test,52,0.20000000298023224,1.8695625066757202,5.0,4,100,60,100,40,4,gru
train,53,0.4375,0.11944714933633804,5.0,4,100,60,100,40,4,gru
test,53,0.15000000596046448,1.9185031652450562,5.0,4,100,60,100,40,4,gru
train,54,0.375,0.11933878809213638,5.0,4,100,60,100,40,4,gru
test,54,0.15000000596046448,1.9196990728378296,5.0,4,100,60,100,40,4,gru
train,55,0.4375,0.11863680183887482,5.0,4,100,60,100,40,4,gru
test,55,0.20000000298023224,1.9008700847625732,5.0,4,100,60,100,40,4,gru
train,56,0.42500001192092896,0.11973772197961807,5.0,4,100,60,100,40,4,gru
test,56,0.20000000298023224,1.9470287561416626,5.0,4,100,60,100,40,4,gru
train,57,0.38749998807907104,0.11896252632141113,5.0,4,100,60,100,40,4,gru
test,57,0.15000000596046448,1.8871872425079346,5.0,4,100,60,100,40,4,gru
train,58,0.38749998807907104,0.11926547437906265,5.0,4,100,60,100,40,4,gru
test,58,0.25,1.8945205211639404,5.0,4,100,60,100,40,4,gru
train,59,0.38749998807907104,0.12110942602157593,5.0,4,100,60,100,40,4,gru
test,59,0.15000000596046448,1.9865000247955322,5.0,4,100,60,100,40,4,gru
train,60,0.38749998807907104,0.1177084892988205,5.0,4,100,60,100,40,4,gru
test,60,0.25,1.9324777126312256,5.0,4,100,60,100,40,4,gru
train,61,0.4124999940395355,0.11671630293130875,5.0,4,100,60,100,40,4,gru
test,61,0.10000000149011612,1.9107211828231812,5.0,4,100,60,100,40,4,gru
train,62,0.4000000059604645,0.11823832988739014,5.0,4,100,60,100,40,4,gru
test,62,0.20000000298023224,1.9235912561416626,5.0,4,100,60,100,40,4,gru
train,63,0.4124999940395355,0.11656135320663452,5.0,4,100,60,100,40,4,gru
test,63,0.15000000596046448,1.972304344177246,5.0,4,100,60,100,40,4,gru
train,64,0.4124999940395355,0.11852343380451202,5.0,4,100,60,100,40,4,gru
test,64,0.25,1.9581711292266846,5.0,4,100,60,100,40,4,gru
train,65,0.3499999940395355,0.11768855899572372,5.0,4,100,60,100,40,4,gru
test,65,0.25,1.9307444095611572,5.0,4,100,60,100,40,4,gru
train,66,0.4000000059604645,0.11882881075143814,5.0,4,100,60,100,40,4,gru
test,66,0.20000000298023224,1.9512306451797485,5.0,4,100,60,100,40,4,gru
train,67,0.42500001192092896,0.11574585735797882,5.0,4,100,60,100,40,4,gru
