mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,40,100,40,4,gru
test,0,0.25,,,4,100,40,100,40,4,gru
train,1,0.3500003218650818,0.1480928659439087,4.999963760375977,4,100,40,100,40,4,gru
test,1,0.30000001192092896,1.3768484592437744,5.0,4,100,40,100,40,4,gru
train,2,0.3125,0.14236733317375183,4.999997615814209,4,100,40,100,40,4,gru
test,2,0.4000000059604645,1.3653515577316284,5.0,4,100,40,100,40,4,gru
train,3,0.2750000059604645,0.13886697590351105,5.0,4,100,40,100,40,4,gru
test,3,0.20000000298023224,1.4720304012298584,5.0,4,100,40,100,40,4,gru
train,4,0.32499998807907104,0.13640670478343964,5.0,4,100,40,100,40,4,gru
test,4,0.3499999940395355,1.4473397731781006,5.0,4,100,40,100,40,4,gru
train,5,0.2874999940395355,0.13677319884300232,5.0,4,100,40,100,40,4,gru
test,5,0.3499999940395355,1.4442754983901978,5.0,4,100,40,100,40,4,gru
train,6,0.32499998807907104,0.1344602406024933,5.0,4,100,40,100,40,4,gru
test,6,0.4000000059604645,1.4019421339035034,5.0,4,100,40,100,40,4,gru
train,7,0.3125,0.13404551148414612,5.0,4,100,40,100,40,4,gru
test,7,0.20000000298023224,1.446540355682373,5.0,4,100,40,100,40,4,gru
train,8,0.30000001192092896,0.13283684849739075,5.0,4,100,40,100,40,4,gru
test,8,0.4000000059604645,1.4532221555709839,5.0,4,100,40,100,40,4,gru
train,9,0.31250056624412537,0.13572384417057037,4.999981880187988,4,100,40,100,40,4,gru
test,9,0.3499999940395355,1.4679255485534668,5.0,4,100,40,100,40,4,gru
train,10,0.3001483082771301,0.13482171297073364,4.988084316253662,4,100,40,100,40,4,gru
test,10,0.4000000059604645,1.4439547061920166,5.0,4,100,40,100,40,4,gru
train,11,0.3005636930465698,0.13177888095378876,4.960770130157471,4,100,40,100,40,4,gru
test,11,0.4000000059604645,1.4201109409332275,5.0,4,100,40,100,40,4,gru
train,12,0.325045645236969,0.13154540956020355,4.974563121795654,4,100,40,100,40,4,gru
test,12,0.4000000059604645,1.4299886226654053,5.0,4,100,40,100,40,4,gru
train,13,0.32546958327293396,0.129673033952713,4.99691104888916,4,100,40,100,40,4,gru
test,13,0.44999998807907104,1.4526275396347046,5.0,4,100,40,100,40,4,gru
train,14,0.3750191628932953,0.12973877787590027,4.9977922439575195,4,100,40,100,40,4,gru
test,14,0.44999998807907104,1.4405896663665771,5.0,4,100,40,100,40,4,gru
train,15,0.3754745125770569,0.12950555980205536,4.996838569641113,4,100,40,100,40,4,gru
test,15,0.4000000059604645,1.4402822256088257,5.0,4,100,40,100,40,4,gru
train,16,0.32500791549682617,0.12963515520095825,4.998956203460693,4,100,40,100,40,4,gru
test,16,0.44999998807907104,1.4219154119491577,5.0,4,100,40,100,40,4,gru
train,17,0.3375197947025299,0.1293734461069107,4.99527645111084,4,100,40,100,40,4,gru
test,17,0.44999998807907104,1.4103037118911743,5.0,4,100,40,100,40,4,gru
train,18,0.3250013589859009,0.12995918095111847,4.999540328979492,4,100,40,100,40,4,gru
test,18,0.25,1.5014859437942505,5.0,4,100,40,100,40,4,gru
train,19,0.3375021517276764,0.12951569259166718,4.9993767738342285,4,100,40,100,40,4,gru
test,19,0.44999998807907104,1.4645254611968994,5.0,4,100,40,100,40,4,gru
train,20,0.32500460743904114,0.12897852063179016,4.9997758865356445,4,100,40,100,40,4,gru
test,20,0.44999998807907104,1.3864433765411377,5.0,4,100,40,100,40,4,gru
