mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,agent
train,34,0.7797499299049377,0.4445328712463379,5.0,10,100,20,40,10,4,4,gru,dual
test,34,0.7609999775886536,0.43524622917175293,5.0,10,100,20,40,10,4,4,gru,dual
train,35,0.7825000286102295,0.4228992462158203,5.0,10,100,20,40,10,4,4,gru,dual
test,35,0.7520000338554382,0.4509193003177643,5.0,10,100,20,40,10,4,4,gru,dual
train,36,0.7777500152587891,0.45325595140457153,5.0,10,100,20,40,10,4,4,gru,dual
test,36,0.7639999389648438,0.44924527406692505,5.0,10,100,20,40,10,4,4,gru,dual
train,37,0.7764999866485596,0.42756733298301697,5.0,10,100,20,40,10,4,4,gru,dual
test,37,0.6819999814033508,0.6083964109420776,5.0,10,100,20,40,10,4,4,gru,dual
train,38,0.7534999847412109,0.47824007272720337,5.0,10,100,20,40,10,4,4,gru,dual
test,38,0.7470000982284546,0.45152419805526733,5.0,10,100,20,40,10,4,4,gru,dual
train,39,0.7517499923706055,0.4695771336555481,5.0,10,100,20,40,10,4,4,gru,dual
test,39,0.687000036239624,0.6450851559638977,5.0,10,100,20,40,10,4,4,gru,dual
train,40,0.7832500338554382,0.4297364354133606,5.0,10,100,20,40,10,4,4,gru,dual
test,40,0.7680000066757202,0.4032289981842041,5.0,10,100,20,40,10,4,4,gru,dual
