mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,20,100,40,4,gru
test,0,0.25,,,4,100,20,100,40,4,gru
train,1,0.3375000059604645,0.5596596002578735,5.0,4,100,20,100,40,4,gru
test,1,0.4000000059604645,1.4832122325897217,5.0,4,100,20,100,40,4,gru
train,2,0.4375,0.1386592835187912,5.0,4,100,20,100,40,4,gru
test,2,0.44999998807907104,1.020228385925293,5.0,4,100,20,100,40,4,gru
train,3,0.4625000059604645,0.07476028800010681,5.0,4,100,20,100,40,4,gru
test,3,0.5,0.7820518612861633,5.0,4,100,20,100,40,4,gru
train,4,0.4749999940395355,0.0800832137465477,5.0,4,100,20,100,40,4,gru
test,4,0.550000011920929,0.8961318135261536,5.0,4,100,20,100,40,4,gru
train,5,0.6000000238418579,0.06512244045734406,5.0,4,100,20,100,40,4,gru
test,5,0.44999998807907104,0.955548107624054,5.0,4,100,20,100,40,4,gru
train,6,0.5625,0.06404347717761993,5.0,4,100,20,100,40,4,gru
test,6,0.6000000238418579,0.9397452473640442,5.0,4,100,20,100,40,4,gru
train,7,0.6000000238418579,0.06163039803504944,5.0,4,100,20,100,40,4,gru
test,7,0.550000011920929,0.9586332440376282,5.0,4,100,20,100,40,4,gru
train,8,0.625,0.06147778034210205,5.0,4,100,20,100,40,4,gru
test,8,0.6000000238418579,0.9732815027236938,5.0,4,100,20,100,40,4,gru
train,9,0.612500011920929,0.059648603200912476,5.0,4,100,20,100,40,4,gru
test,9,0.44999998807907104,1.034725308418274,5.0,4,100,20,100,40,4,gru
train,10,0.637499988079071,0.06068090721964836,5.0,4,100,20,100,40,4,gru
test,10,0.550000011920929,0.9671163558959961,5.0,4,100,20,100,40,4,gru
train,11,0.612500011920929,0.05938529968261719,5.0,4,100,20,100,40,4,gru
test,11,0.6499999761581421,0.9474965929985046,5.0,4,100,20,100,40,4,gru
train,12,0.6625000238418579,0.057985641062259674,5.0,4,100,20,100,40,4,gru
test,12,0.6000000238418579,0.9570508003234863,5.0,4,100,20,100,40,4,gru
train,13,0.6499999761581421,0.057439327239990234,5.0,4,100,20,100,40,4,gru
test,13,0.6000000238418579,0.969393253326416,5.0,4,100,20,100,40,4,gru
train,14,0.6625000238418579,0.057311881333589554,5.0,4,100,20,100,40,4,gru
test,14,0.6000000238418579,0.9691799283027649,5.0,4,100,20,100,40,4,gru
train,15,0.699999988079071,0.056998830288648605,5.0,4,100,20,100,40,4,gru
test,15,0.6000000238418579,0.9665704965591431,5.0,4,100,20,100,40,4,gru
train,16,0.675000011920929,0.05721982195973396,5.0,4,100,20,100,40,4,gru
test,16,0.6000000238418579,0.9442318677902222,5.0,4,100,20,100,40,4,gru
train,17,0.6625000238418579,0.05671333149075508,5.0,4,100,20,100,40,4,gru
test,17,0.6499999761581421,0.9571210741996765,5.0,4,100,20,100,40,4,gru
train,18,0.6499999761581421,0.05754735320806503,5.0,4,100,20,100,40,4,gru
test,18,0.6000000238418579,1.013310194015503,5.0,4,100,20,100,40,4,gru
train,19,0.6499999761581421,0.05686407536268234,5.0,4,100,20,100,40,4,gru
test,19,0.6499999761581421,0.9679193496704102,5.0,4,100,20,100,40,4,gru
train,20,0.6499999761581421,0.058375656604766846,5.0,4,100,20,100,40,4,gru
test,20,0.6000000238418579,0.9875105023384094,5.0,4,100,20,100,40,4,gru
train,21,0.675000011920929,0.058152250945568085,5.0,4,100,20,100,40,4,gru
test,21,0.6000000238418579,0.9681791067123413,5.0,4,100,20,100,40,4,gru
train,22,0.675000011920929,0.05457651615142822,5.0,4,100,20,100,40,4,gru
test,22,0.550000011920929,1.0154153108596802,5.0,4,100,20,100,40,4,gru
train,23,0.637499988079071,0.05590841919183731,5.0,4,100,20,100,40,4,gru
test,23,0.6499999761581421,0.9887171983718872,5.0,4,100,20,100,40,4,gru
train,24,0.7250000238418579,0.05483965948224068,5.0,4,100,20,100,40,4,gru
test,24,0.6499999761581421,0.9656451940536499,5.0,4,100,20,100,40,4,gru
train,25,0.6625000238418579,0.055389441549777985,5.0,4,100,20,100,40,4,gru
test,25,0.6499999761581421,0.98729008436203,5.0,4,100,20,100,40,4,gru
train,26,0.6875,0.055239029228687286,5.0,4,100,20,100,40,4,gru
test,26,0.6499999761581421,0.9792286157608032,5.0,4,100,20,100,40,4,gru
train,27,0.699999988079071,0.0570162832736969,5.0,4,100,20,100,40,4,gru
test,27,0.550000011920929,0.9951996803283691,5.0,4,100,20,100,40,4,gru
train,28,0.7250000238418579,0.054620735347270966,5.0,4,100,20,100,40,4,gru
test,28,0.6000000238418579,0.9859768152236938,5.0,4,100,20,100,40,4,gru
train,29,0.7124999761581421,0.05578030273318291,5.0,4,100,20,100,40,4,gru
test,29,0.699999988079071,0.9931648373603821,5.0,4,100,20,100,40,4,gru
train,30,0.6875,0.05808728188276291,5.0,4,100,20,100,40,4,gru
test,30,0.699999988079071,0.9632598757743835,5.0,4,100,20,100,40,4,gru
train,31,0.6875,0.054712407290935516,5.0,4,100,20,100,40,4,gru
test,31,0.550000011920929,1.0358717441558838,5.0,4,100,20,100,40,4,gru
train,32,0.7124999761581421,0.05520205944776535,5.0,4,100,20,100,40,4,gru
test,32,0.6499999761581421,0.9768112897872925,5.0,4,100,20,100,40,4,gru
train,33,0.7250000238418579,0.054151736199855804,5.0,4,100,20,100,40,4,gru
test,33,0.6000000238418579,0.9835807681083679,5.0,4,100,20,100,40,4,gru
train,34,0.737500011920929,0.05317605286836624,5.0,4,100,20,100,40,4,gru
test,34,0.6499999761581421,1.0003607273101807,5.0,4,100,20,100,40,4,gru
train,35,0.7124999761581421,0.055388204753398895,5.0,4,100,20,100,40,4,gru
test,35,0.6499999761581421,1.0017316341400146,5.0,4,100,20,100,40,4,gru
train,36,0.7250000238418579,0.05306927487254143,5.0,4,100,20,100,40,4,gru
test,36,0.6499999761581421,1.000113606452942,5.0,4,100,20,100,40,4,gru
train,37,0.75,0.05234713479876518,5.0,4,100,20,100,40,4,gru
test,37,0.699999988079071,1.032344102859497,5.0,4,100,20,100,40,4,gru
train,38,0.75,0.05256732180714607,5.0,4,100,20,100,40,4,gru
test,38,0.699999988079071,1.0277938842773438,5.0,4,100,20,100,40,4,gru
train,39,0.7250000238418579,0.05653794854879379,5.0,4,100,20,100,40,4,gru
test,39,0.6499999761581421,0.9826682209968567,5.0,4,100,20,100,40,4,gru
train,40,0.75,0.05319931358098984,5.0,4,100,20,100,40,4,gru
test,40,0.6499999761581421,1.0400758981704712,5.0,4,100,20,100,40,4,gru
train,41,0.699999988079071,0.054545849561691284,5.0,4,100,20,100,40,4,gru
test,41,0.5,1.0703877210617065,5.0,4,100,20,100,40,4,gru
train,42,0.6875,0.0540161207318306,5.0,4,100,20,100,40,4,gru
test,42,0.550000011920929,1.0468389987945557,5.0,4,100,20,100,40,4,gru
train,43,0.75,0.05246541649103165,5.0,4,100,20,100,40,4,gru
test,43,0.3499999940395355,1.098346471786499,5.0,4,100,20,100,40,4,gru
train,44,0.6875,0.05944855138659477,5.0,4,100,20,100,40,4,gru
test,44,0.5,1.1023221015930176,5.0,4,100,20,100,40,4,gru
train,45,0.699999988079071,0.05219259858131409,5.0,4,100,20,100,40,4,gru
test,45,0.550000011920929,1.0735490322113037,5.0,4,100,20,100,40,4,gru
train,46,0.7250000238418579,0.053068626672029495,5.0,4,100,20,100,40,4,gru
test,46,0.5,1.0748316049575806,5.0,4,100,20,100,40,4,gru
train,47,0.7124999761581421,0.05334058403968811,5.0,4,100,20,100,40,4,gru
test,47,0.6499999761581421,1.1033375263214111,5.0,4,100,20,100,40,4,gru
train,48,0.762499988079071,0.05118565633893013,5.0,4,100,20,100,40,4,gru
test,48,0.6499999761581421,1.0411025285720825,5.0,4,100,20,100,40,4,gru
train,49,0.7749999761581421,0.05234379321336746,5.0,4,100,20,100,40,4,gru
test,49,0.699999988079071,1.0240463018417358,5.0,4,100,20,100,40,4,gru
train,50,0.7124999761581421,0.053342223167419434,5.0,4,100,20,100,40,4,gru
test,50,0.699999988079071,1.0623775720596313,5.0,4,100,20,100,40,4,gru
train,51,0.7250000238418579,0.05403008311986923,5.0,4,100,20,100,40,4,gru
test,51,0.6000000238418579,1.050657033920288,5.0,4,100,20,100,40,4,gru
train,52,0.75,0.052416056394577026,5.0,4,100,20,100,40,4,gru
test,52,0.5,1.0749399662017822,5.0,4,100,20,100,40,4,gru
train,53,0.699999988079071,0.05576758459210396,5.0,4,100,20,100,40,4,gru
test,53,0.550000011920929,1.0776864290237427,5.0,4,100,20,100,40,4,gru
train,54,0.762499988079071,0.05114443972706795,5.0,4,100,20,100,40,4,gru
test,54,0.44999998807907104,1.1422502994537354,5.0,4,100,20,100,40,4,gru
train,55,0.7124999761581421,0.051620740443468094,5.0,4,100,20,100,40,4,gru
test,55,0.550000011920929,1.0773900747299194,5.0,4,100,20,100,40,4,gru
train,56,0.762499988079071,0.05272730067372322,5.0,4,100,20,100,40,4,gru
test,56,0.6000000238418579,1.0938063859939575,5.0,4,100,20,100,40,4,gru
train,57,0.699999988079071,0.05527582764625549,5.0,4,100,20,100,40,4,gru
test,57,0.4000000059604645,1.1104909181594849,5.0,4,100,20,100,40,4,gru
train,58,0.7124999761581421,0.05937141925096512,5.0,4,100,20,100,40,4,gru
test,58,0.5,1.0946406126022339,5.0,4,100,20,100,40,4,gru
train,59,0.6875,0.05608057230710983,5.0,4,100,20,100,40,4,gru
test,59,0.30000001192092896,1.176007866859436,5.0,4,100,20,100,40,4,gru
train,60,0.7875000238418579,0.05091230198740959,5.0,4,100,20,100,40,4,gru
test,60,0.550000011920929,1.1089403629302979,5.0,4,100,20,100,40,4,gru
train,61,0.7250000238418579,0.0524720661342144,5.0,4,100,20,100,40,4,gru
test,61,0.6000000238418579,1.1142394542694092,5.0,4,100,20,100,40,4,gru
train,62,0.75,0.050892215222120285,5.0,4,100,20,100,40,4,gru
test,62,0.550000011920929,1.0805317163467407,5.0,4,100,20,100,40,4,gru
train,63,0.737500011920929,0.05059455707669258,5.0,4,100,20,100,40,4,gru
test,63,0.6000000238418579,1.1062370538711548,5.0,4,100,20,100,40,4,gru
train,64,0.7749999761581421,0.052923671901226044,5.0,4,100,20,100,40,4,gru
test,64,0.550000011920929,1.1136164665222168,5.0,4,100,20,100,40,4,gru
train,65,0.762499988079071,0.04968497157096863,5.0,4,100,20,100,40,4,gru
test,65,0.6000000238418579,1.131192922592163,5.0,4,100,20,100,40,4,gru
train,66,0.75,0.05144970864057541,5.0,4,100,20,100,40,4,gru
test,66,0.5,1.1266753673553467,5.0,4,100,20,100,40,4,gru
train,67,0.7749999761581421,0.05012531206011772,5.0,4,100,20,100,40,4,gru
test,67,0.6000000238418579,1.1774588823318481,5.0,4,100,20,100,40,4,gru
train,68,0.7875000238418579,0.04994213208556175,5.0,4,100,20,100,40,4,gru
test,68,0.5,1.1625699996948242,5.0,4,100,20,100,40,4,gru
train,69,0.7749999761581421,0.04928497225046158,5.0,4,100,20,100,40,4,gru
test,69,0.550000011920929,1.182965636253357,5.0,4,100,20,100,40,4,gru
train,70,0.762499988079071,0.049719151109457016,5.0,4,100,20,100,40,4,gru
test,70,0.550000011920929,1.2021524906158447,5.0,4,100,20,100,40,4,gru
train,71,0.7124999761581421,0.04998575523495674,5.0,4,100,20,100,40,4,gru
test,71,0.4000000059604645,1.246152639389038,5.0,4,100,20,100,40,4,gru
train,72,0.762499988079071,0.05074440687894821,5.0,4,100,20,100,40,4,gru
test,72,0.5,1.152656078338623,5.0,4,100,20,100,40,4,gru
train,73,0.7749999761581421,0.04981931298971176,5.0,4,100,20,100,40,4,gru
test,73,0.3499999940395355,1.2364556789398193,5.0,4,100,20,100,40,4,gru
train,74,0.7749999761581421,0.049068011343479156,5.0,4,100,20,100,40,4,gru
test,74,0.550000011920929,1.2111175060272217,5.0,4,100,20,100,40,4,gru
train,75,0.737500011920929,0.05099860578775406,5.0,4,100,20,100,40,4,gru
test,75,0.5,1.2252907752990723,5.0,4,100,20,100,40,4,gru
train,76,0.7250000238418579,0.050499338656663895,5.0,4,100,20,100,40,4,gru
test,76,0.550000011920929,1.1929517984390259,5.0,4,100,20,100,40,4,gru
train,77,0.7875000238418579,0.048334136605262756,5.0,4,100,20,100,40,4,gru
test,77,0.550000011920929,1.1906110048294067,5.0,4,100,20,100,40,4,gru
train,78,0.800000011920929,0.04914454370737076,5.0,4,100,20,100,40,4,gru
test,78,0.5,1.2082074880599976,5.0,4,100,20,100,40,4,gru
train,79,0.7250000238418579,0.04941468685865402,5.0,4,100,20,100,40,4,gru
