,mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell,agent
0,train,0,0.25,,,4,10,20,2,40,4,gru,rel
0,test,0,0.25,,,4,10,20,2,40,4,gru,rel
0,train,1,0.2447844296693802,2.679180383682251,2.3759570121765137,4,10,20,2,40,4,gru,rel
1,test,1,0.30000001192092896,3.418896436691284,1.5499999523162842,4,10,20,2,40,4,gru,rel
2,train,2,0.16064520180225372,1.830145239830017,1.4300413131713867,4,10,20,2,40,4,gru,rel
3,test,2,0.25,2.4602012634277344,2.25,4,10,20,2,40,4,gru,rel
